claim_id	claim	archive	source_url	locator	evidence	qualification
04-01	Laxman Muthiyah published the Instagram recovery disclosure on 14 July 2019.	resources/incidents/04/instagram-post-metadata.json	https://thezerohack.com/wp-json/wp/v2/posts/2599	JSON keys date, modified, link	date 2019-07-14; modified 2024-10-19	The visible article now shows its later modification date.
04-02	The mobile recovery flow sent a six-digit passcode to a phone number and the code expired in ten minutes.	resources/incidents/04/instagram-muthiyah.html	https://thezerohack.com/hack-any-instagram	Article body, HTML lines 482–483 and 495–500	six-digit passcode; expire in 10 minutes	Researcher's description of the mobile recovery flow.
04-03	The passcode verification request used /api/v1/accounts/account_recovery_code_verify/.	resources/incidents/04/instagram-muthiyah.html	https://thezerohack.com/hack-any-instagram	Proof of concept, HTML lines 499–501	POST /api/v1/accounts/account_recovery_code_verify/	Source prints the path with a line-wrap tag in the HTML.
04-04	In one test around 250 of roughly 1000 requests passed and the rest were rate limited.	resources/incidents/04/instagram-muthiyah.html	https://thezerohack.com/hack-any-instagram	Article body, HTML line 484	around 1000 requests; 250 went through; 750 rate limited	This test alone does not establish an exact per-IP threshold.
04-05	Muthiyah identified both a race hazard and IP rotation as ways around the rate limit and reported roughly 200 accepted attempts per IP in his test.	resources/incidents/04/instagram-muthiyah.html	https://thezerohack.com/hack-any-instagram	Article body and proof of concept, HTML lines 486–503	Race Hazard; IP rotation; roughly 200 requests from a single IP	Do not describe the real bypass as IP rotation alone or infer the exact limiter implementation.
04-06	Muthiyah says Facebook fixed the issue quickly and paid a $30000 bounty.	resources/incidents/04/instagram-muthiyah.html	https://thezerohack.com/hack-any-instagram	Article body, HTML lines 480 and 506–510	quick in addressing and fixing; $30000 reward	No exact remediation duration is given.
04-07	HackerOne report 1439026 was submitted on 1 January 2022, disclosed on 11 February and paid $5040.	resources/incidents/04/twitter-hackerone-1439026.json	https://hackerone.com/reports/1439026.json	JSON keys id, submitted_at, disclosed_at, bounty_amount	1439026; 2022-01-01; 2022-02-11; 5040	Report title describes a discoverability restriction bypass, not a proven missing rate limit.
04-08	The Twitter report demonstrated an unauthenticated phone/email lookup returning an account ID despite disabled discoverability and warned that scripting could enumerate users.	resources/incidents/04/twitter-hackerone-1439026.json	https://hackerone.com/reports/1439026.json	JSON vulnerability_information, Summary, Description, Impact	phone/email; user_id; database with phone/email to username connections	The impact paragraph is a risk statement, not evidence of the scale of actual scraping.
04-09	X later said a July 2022 press report described compiled data being offered for sale and that review of a sample confirmed exploitation before the bug was fixed.	resources/incidents/04/twitter-vendor-update.html	https://privacy.x.com/en/blog/2023/update-about-an-alleged-incident-regarding-twitter-user-data-being-sold-online	What happened, HTML lines 491–493	July 2022; offering to sell; confirmed bad actor	Vendor account of its investigation; the 2023 update cautions against conflating later datasets.
04-10	X said the 5.4 million accounts reported later were the same set exposed in August 2022.	resources/incidents/04/twitter-vendor-update.html	https://privacy.x.com/en/blog/2023/update-about-an-alleged-incident-regarding-twitter-user-data-being-sold-online	Investigation conclusions, HTML lines 495–500	5.4 million user accounts	Do not claim the HackerOne reporter measured or produced that dataset.
