claim_id	claim	archive	source_url	locator	evidence	qualification
08-01	UpGuard published the Power Apps portal disclosure on 23 August 2021.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Article title and publication line	By Design; Published Aug 23 2021	Researcher's original account.
08-02	Power Apps portal lists with OData enabled exposed data anonymously unless table permissions were enabled on the list as well as the table.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Background paragraphs beginning One of the options and When a developer enables	OData feed plus list setting; table permissions ignored by list until enabled	This is a configuration interaction, not evidence that every portal list was exposed.
08-03	List table permissions were disabled by default at the time; Microsoft later changed the default for newly created portals.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Background paragraph beginning Power Apps Portals lists; Microsoft Response paragraph beginning Additionally	all lists having table permissions disabled by default; newly created portals will have them enabled	The source describes the change as planned in Microsoft Response and as completed in Conclusion; avoid a precise rollout date.
08-04	The article quotes Microsoft documentation requiring table permissions on the table and Enable Table Permissions on the list.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Background documentation quotation	To secure a list configure Table Permissions and set Enable Table Permissions true	Quoted by UpGuard from Microsoft's documentation, not independently archived documentation.
08-05	UpGuard first discovered an exposed OData list on 24 May 2021 and found lists by subdomain enumeration search engines and the _odata endpoint.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Discovery paragraphs beginning On May 24 and First we identified and After identifying	May 24; three portal domains; /_odata lists names; individual list returns rows or forbidden	Discovery methods are UpGuard's account.
08-06	UpGuard reported examples to MSRC on 24 June 2021 and says Microsoft closed the case on 29 June as by design.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Vulnerability disclosure to Microsoft paragraphs beginning On Thursday June 24 and Over the next day	MSRC report; by design response	The by-design sentence is Microsoft as quoted by UpGuard.
08-07	UpGuard says it found over a thousand anonymously accessible lists across a few hundred portals and notified 47 entities involving 38 million records.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Introduction paragraph beginning UpGuard notified; Notification to affected entities opening	47 entities; 38 million records; over a thousand lists	UpGuard totals; not a count of confirmed malicious access.
08-08	The exposed examples UpGuard sent to MSRC included government COVID-19 portals and a job-applicant portal with Social Security numbers.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Vulnerability disclosure to Microsoft paragraph beginning On Thursday June 24	COVID-19 tracing or vaccination; applicant SSNs	Examples in UpGuard's report to Microsoft.
08-09	UpGuard says the Global Payroll Services list had 332000 records including names Microsoft email addresses phone numbers and employee IDs; it was no longer public by 16 July after a 15 July abuse report.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Abuse report to Microsoft paragraphs beginning On Friday July 16; Significant Microsoft portals Global Payroll Services	332000; abuse report July 15; no longer public by July 16	Do not infer the exact time the list was made private.
08-10	UpGuard reports Microsoft released a Portal Checker and planned default-enabled table permissions for new portals; UpGuard agrees the issue was not strictly a software vulnerability.	resources/incidents/08/upguard-power-apps.html	https://www.upguard.com/breaches/power-apps	Microsoft Response paragraph beginning Additionally; Conclusion paragraph beginning While we understand	Portal Checker; newly created portals; not strictly software vulnerability	Do not assert a dated completed rollout from this article alone.
