claim_id	claim	archive	source_url	locator	evidence	qualification
02-01	Alan Monie's Pen Test Partners disclosure was published 8 October 2021.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	Byline and date, HTML lines 653–657	Alan Monie; 08 Oct 2021	Publication date, not discovery date.
02-02	The write-up says over 200000 Equity for Punks shareholders' details were exposed for over 18 months.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	TL;DR, HTML lines 718–722	over 200,000; over 18 months	Shareholder count is not an app-installation count or proof of access.
02-03	The Android app contained one hard-coded bearer token associated with three API endpoints, shared by mobile app users.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	What not to do, HTML lines 718–722 and 767	same hard coded API Bearer Token; three API endpoints	The source says code was examined; it does not describe a decompiler step.
02-04	Appending another customer ID to an endpoint URL returned that customer's personal details.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	What not to do, HTML line 779	append a different customer ID	Researchers tested one another's IDs with permission; do not claim bulk download occurred.
02-05	The customer IDs were not quite sequential but not random.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	What not to do, HTML line 779	aren’t quite sequential, but certainly aren’t random	Researcher's characterization.
02-06	The disclosed fields include name date of birth email gender prior delivery addresses telephone shareholding shareholder number discounts and referrals.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	What not to do, HTML lines 785–828	Name; Date of Birth; Email address; Number of shares held	Do not imply every field came from all three endpoints.
02-07	The researcher found the hard-coded token in version 2.5.5 from March 2020.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	How long has this been there, HTML line 857	version 2.5.5 in March 2020	Based on older app versions retrieved by the researcher.
02-08	Version 2.5.12 released on 13 September 2021 still had a static key allowing download of all users' bar discount codes.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	BrewDog starts fixing the app, HTML lines 901–905	STILL a static key; bar discount codes	Do not extend this later-version claim to every original PII field.
02-09	Version 2.5.13 was released by 27 September 2021 after the researcher tested six builds.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	BrewDog starts fixing the app, HTML lines 909–913	By the 27th September, version 2.5.13	Researcher's account of the fix process.
02-10	At publication Monie said he knew of no customer or shareholder notification.	resources/incidents/02/brewdog-primary.html	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	Endgame, HTML line 949	As far as I know	Do not state that notification never happened.
