claim_id	claim	archive	source_url	locator	evidence	qualification
05-01	Eaton Zveare's DEF CON 33 deck identifies a top automaker's centralized dealer platform and says a national admin account gave access to over 1000 US dealers.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 1 and 5	August 10 2025; national admin; over 1000 USA dealers	The deck is the researcher's primary account; the automaker is not named in the chapter.
05-02	The dealer system handled orders sales and customer management; it was invite-only with two-factor authentication and an SAP/Java backend with AngularJS frontend.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slide 6	invite only; two-factor auth; SAP/Java; AngularJS	Do not describe the backend as Java only if precision matters.
05-03	The invite link carried a unique token checked by an API from the login page; the hidden registration form could be exposed by altering CSS.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 7–9	server-side token validation API; hidden form; display block	Changing CSS exposed the form, not the server-side token check itself.
05-04	The registration POST included the invite token but the server did not check it and a blank value could register an account.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slide 10	server doesn't check; can be blank	This is the first, registration flaw, not the primary API5 flaw.
05-05	The registered account initially had no permissions and a profile update established a session.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 12–13	account useless no permissions; profile update JSESSIONID	The profile-update step is omitted from the chapter opening; do not imply registration alone yielded a usable session.
05-06	Zveare bypassed client-side admin-page denial and the create-user API checked a valid session but not whether the user was an admin.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 15–21	client-side checks; access denied display; checked JSESSIONID not admin	This supports the API5 classification, which is editorial rather than a label used in the deck.
05-07	The create-user form offered broad access rights and resulted in a national admin account.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 18–22	create button; access rights; account has access to everything	The slides do not give the exact API route or server code.
05-08	A later user-impersonation feature helped Zveare reach other dealer systems and bypassed login and two-factor authentication.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slides 39–44	user impersonation; bypassed login and 2FA	This is a later pivot, not the initial admin create-user request.
05-09	The deck's timeline records discovery on 26 January report on 3 February response on 6 February and verified fixes on 11 February 2025.	resources/incidents/05/zveare-defcon33-slides.pdf	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	Slide 76	Jan 26; Feb 3; Feb 6; Feb 11	The slide says he limited initial exploration to read-only, but elsewhere documents a consensual car transfer.
05-10	In an interview Zveare said the automaker found no evidence of earlier exploitation and the account reached more than 1000 dealerships.	resources/incidents/05/techcrunch-zveare.html	https://techcrunch.com/2025/08/10/security-flaws-in-a-carmakers-web-portal-let-one-hacker-remotely-unlock-cars-from-anywhere/	Article body, HTML lines 974–984	unnamed vendor; no evidence of past exploitation; more than 1000 dealers	The no-evidence statement is attributed to Zveare reporting the carmaker's finding, not a direct carmaker statement.
05-11	Zveare told TechCrunch the bugs took about a week to fix and described them as two API vulnerabilities related to authentication.	resources/incidents/05/techcrunch-zveare.html	https://techcrunch.com/2025/08/10/security-flaws-in-a-carmakers-web-portal-let-one-hacker-remotely-unlock-cars-from-anywhere/	Article body, HTML lines 1030–1034	about a week; two simple API vulnerabilities	Use a short quote if needed; do not imply the researcher called the second bug API5.
