claim_id	claim	archive	source_url	locator	evidence	qualification
09-01	ACMA’s filed account alleges that a coding error went undetected during and for four years before the 17–20 September 2022 period.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶¶1–3 (PDF p.3)	“due to a coding error which it did not detect”	These are ACMA allegations in a filed concise statement, not adjudicated findings.
09-02	The filed account alleges that more than 9.5 million former and current customers’ information was accessed.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶2 (PDF p.3)	“more than 9.5 million former and current customers”	ACMA sought penalties concerning at least 3.6 million active customers; keep the populations distinct.
09-03	The Target Domain exposed three APIs intended to return information only after successful customer authentication.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶8 (PDF p.4; printed p.2)	“after a customer was successfully authenticated”	System names within the filing remain redacted; do not fill them in.
09-04	The Target Domain was dormant and unused since 2017 but was not decommissioned until after the attack.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶9 (PDF p.4; printed p.2)	“dormant and not in use, and had not been in use since 2017”	This filed allegation is the Chapter 9 inventory hinge.
09-05	A September 2018 coding error allegedly made one access control ineffective for both the Target and Main domains.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶10 (PDF p.4; printed p.2)	“caused it to be ineffective for both the Target Domain and Main Domain”	Describe an ineffective control, not an API that was designed without authentication.
09-06	Optus allegedly fixed the Main Domain in August 2021 but did not detect or fix the same issue on the Target Domain.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶11 (PDF p.4; printed p.2)	“fixed the error for the Main Domain”	The comparison is directly stated in the filing.
09-07	The filing alleges that the Target Domain sat dormant and vulnerable for two years despite no need for it.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶13 (PDF p.4; printed p.2)	“dormant and vulnerable to attack for two years”	Attribute this characterization to ACMA.
09-08	The attacker allegedly bypassed access controls and sent requests to the Target APIs, which returned personal information.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶14 (PDF p.5; printed p.3)	“bypass access controls and send requests to the Target APIs”	The public filing does not expose the redacted implementation details.
09-09	The filing says internet traffic to the Target Domain was blocked on 20 September and the domain was decommissioned on 21 September 2022.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶16 (PDF p.5; printed p.3)	“the Target Domain was decommissioned”	Use the filed sequence rather than a later retelling.
09-10	The filing names the Main Domain as www.optus.com.au and the Target Domain as api.www.optus.com.au, and says the Target Domain was intended to segregate API traffic from static content on the Main Domain.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶¶8–9 (PDF p.4; printed p.2)	“api.www.optus.com.au (Target Domain)”; “to segregate API traffic from static content”	The system that held the information is redacted in the filing; the chapter names only the two domains.
09-11	The filing says the Target Domain was internet facing from 20 April 2017; by June 2020 both domains were internet facing with the coding error.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶10 (PDF p.4; printed p.2)	“internet facing from 20 April 2017”; “once both domains became internet facing with the coding error in June 2020”	ACMA allegation; June 2020 is the joint vulnerable state, not the Target Domain's first internet-facing date.
09-12	The filing characterises the attack as not highly sophisticated and carried out through a simple process of trial and error.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶15 (PDF p.5; printed p.3)	“was not highly sophisticated”; “a simple process of trial and error”	Quoted with attribution to ACMA.
09-13	The filing says the attack was first detected on 17 September, Optus became aware at around 8pm on 19 September, and blocked internet traffic to the Target Domain at around 3:45am on 20 September 2022.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶16 (PDF p.5; printed p.3)	“around 8pm on 19 September 2022”; “around 3:45am on 20 September 2022”	Times are ACMA's pleaded times.
09-14	The filing lists names email addresses birth dates and phone numbers for all affected customers, with residential addresses and identity details for subsets; it calls Optus the second largest telecommunications company in Australia.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Concise Statement ¶¶2, 5, 27 (PDF pp.3–4, 6; printed pp.1–2, 4)	¶27 separates categories for all customers from address and identity-information subsets; ¶5 calls Optus second largest	Identity examples include driver's licence passport and Medicare numbers; all counts remain ACMA allegations.
09-15	The court order of 19 June 2024 identifies ACMA's concise statement as filed on 22 May 2024.	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	Court order p.1 paragraphs 2–3	concise statement filed in this proceeding on 22 May 2024	Supports the chapter's May 2024 proceeding reference; the annex is a redacted version.
